ID,TIMETABLE_ID,NAME,BRANCH,ADDRESS,TEL,LAT,LNG
92,1001,基隆站,,基隆市仁愛區文昌里港西街5號,02-24263743,25.1323018,121.7394664
224,1029,三坑站,,基隆市仁愛區龍安街206號,02-24230289,25.1230089,121.7418331
93,1002,八堵站,,基隆市暖暖區八南里八堵路142號,02-24560841,25.1083342,121.7290544
94,1003,七堵站,,基隆市七堵區長興里東新街2號之1,02-24553426,25.0934531,121.713928
261,1030,百福站,,基隆市明德三路1-1號,02-24528372,25.0779244,121.693623
95,1004,五堵站,,新北市汐止區長安里長安路17號,02-86476200,25.077857,121.66763
96,1005,汐止站,,新北市汐止區信望里信義路1號,02-26415096,25.068316,121.6617346
262,1031,汐科站,,新北市汐止區大同路2段182號,02-23815226#8730,25.062563,121.6466505
97,1006,南港站,,臺北市南港區南港路1段313號,02-27838645,25.053216,121.6070578
98,1007,松山站,,臺北市信義區永吉里松山路11號,02-27673819,25.0491921,121.5779143
100,1008,臺北站,,臺北市中正區黎明里北平西路3號,02-23713558、02-23111024,25.0479239,121.517081
101,1009,萬華站,,臺北市萬華區富福里康定路382號,02-23020481,25.0333965,121.5004388
102,1011,板橋站,,新北市板橋區縣民大道2段7號,02-89691036,25.0140513,121.463815
264,1032,浮洲站,,新北市板橋區僑中二街156號,02-23815226#4665,25.0041922,121.444737
103,1012,樹林站,,新北市樹林區樹北里鎮前街112號,02-26812052,24.9914074,121.4246008
104,1013,山佳站,,新北市樹林區中山里中山路3段108號,02-26808874,24.9724808,121.392614
105,1014,鶯歌站,,新北市鶯歌區東鶯里文化路68-1號,02-26792004,24.95462,121.356026
106,1015,桃園站,,桃園縣桃園市武陵里中正路1號,03-3323304,24.989206,121.313549
107,1016,內壢站,,桃園縣中壢市中原里中華路1段267號,03-4559725,24.9744782,121.2633953
108,1017,中壢站,,桃園縣中壢市石頭里中和路139號,03-4223235,24.9534545,121.2257365
109,1018,埔心站,,桃園縣楊梅市埔心里永美路208之1號,03-4827100,24.9192082,121.1838019
110,1019,楊梅站,,桃園縣楊梅市楊梅里大成路256號,03-4782893,24.9108316,121.1456848
111,1020,富岡站,,桃園縣楊梅市富岡里成功路37號,03-4723754,24.9343559,121.0815085
271,1033,北湖站,,新竹縣湖口鄉東興村北湖路1號,03-5993850,24.922226,121.055736
112,1021,湖口站,,新竹縣湖口鄉仁勢村中山路2段121號,03-5992192,24.9028648,121.0441227
113,1022,新豐站,,新竹縣新豐鄉員山村新興路202號,03-5596314,24.8699365,120.9965875
114,1023,竹北站,,新竹縣竹北市福德里和平街59號,03-5552024,24.8391207,121.0095335
237,1024,北新竹站,,新竹市中華路1段291之2號,無,24.808765,120.9838244
115,1025,新竹站,,新竹市榮光里中華路2段445號,03-5237441,24.8016432,120.9716955
116,1026,香山站,,新竹市朝山里中華路5段347巷2弄27號,無,24.7631278,120.9138744
117,1027,崎頂站,,苗栗縣竹南鎮崎頂里北戶55號,無,24.7228788,120.8718921
118,1028,竹南站,,苗栗縣竹南鎮中山路166號,037-472030,24.6866106,120.8806984
135,1302,造橋站,山,苗栗縣造橋鄉造橋村平仁路54號,無,24.6418626,120.867194
136,1304,豐富站,山,苗栗縣後龍鎮新港路116號,無,24.6011288,120.8235487
137,1305,苗栗站,山,苗栗縣苗栗市為公路1號,037-260031,24.5700216,120.8225292
138,1307,南勢站,山,苗栗縣苗栗市新英里南勢39號,無,24.522753,120.793193
139,1308,銅鑼站,山,苗栗縣銅鑼鄉銅鑼村大同路13號,037-983838,24.4863398,120.7861726
140,1310,三義站,山,苗栗縣三義鄉雙湖村90號,037-874763,24.4206203,120.7739306
142,1314,泰安站,山,臺中巿后里區安眉路37-12號,無,24.3215652,120.7009839
143,1315,后里站,山,臺中市后里區甲后路1號,04-25562038,24.309312,120.732893
144,1317,豐原站,山,臺中市豐原區中正路1號,04-25207950,24.254112,120.722917
145,1318,潭子站,山,臺中市潭子區中山路二段352號,04-25319200,24.2132325,120.7053569
225,1323,太原站,山,臺中市東光路833號,無,24.1666822,120.7000847
146,1319,臺中站,山,臺中市建國路172號,04-22227236,24.136781,120.685008
223,1322,大慶站,山,臺中市建國路80號(對面),無,24.118876,120.647897
147,1320,烏日站,山,臺中市烏日區三民街258號,04-23381071,24.1086923,120.6224719
280,1324,新烏日站,山,臺中市烏日區高鐵東一路,04-23376883,24.1100254,120.6162073
148,1321,成功站,山,臺中市烏日區中山路3段550號,04-23371986,24.1107677,120.6004956
119,1102,談文站,海,苗栗縣造橋鄉談文村仁愛路29號,無,24.6564147,120.8582416
120,1104,大山站,海,苗栗縣後龍鎮大山里明山路180號,無,24.645645,120.803778
121,1105,後龍站,海,苗栗縣後龍鎮南龍里車站街127號,037-728616,24.6162121,120.7873071
122,1106,龍港站,海,苗栗縣後龍鎮龍京里7鄰公司寮85號,無,24.6166667,120.7833333
123,1107,白沙屯站,海,苗栗縣通霄鎮白西里131號,037-793066,24.564797,120.7081978
124,1108,新埔站,海,苗栗縣通霄鎮新埔里8鄰57號,無,24.5456322,120.703379
125,1109,通霄站,海,苗栗縣通霄鎮通西里中山路109號,037-758300,24.4914035,120.6784246
126,1110,苑裡站,海,苗栗縣苑裡鎮中山路165號,037-851013,24.4814935,120.6754985
127,1111,日南站,海,臺中市大甲區孟春里中山路2段140巷8號,無,24.3780659,120.6541189
128,1112,大甲站,海,臺中市大甲區中山路1段828號,04-26872022,24.34443,120.6270172
129,1113,臺中港站,海,臺中市清水區甲南路2號,04-26225374,24.304388,120.602303
130,1114,清水站,海,臺中市清水區南社里中正街115號,04-26222021,24.2636239,120.569178
131,1115,沙鹿站,海,臺中市沙鹿區中正街94號,04-26625057,24.2370445,120.5576269
132,1116,龍井站,海,臺中市龍井區龍新路1號,04-26355578,24.1972272,120.5443041
133,1117,大肚站,海,臺中市大肚區平和街121號,04-26992523,24.1550185,120.5425336
134,1118,追分站,海,臺中市大肚區王田里追分街13號,04-26933106,24.1208194,120.5695894
149,1120,彰化站,,彰化縣彰化市三民路1號,04-7278263,24.0816657,120.5385394
150,1202,花壇站,,彰化縣花壇鄉中正路370號,無,24.0249965,120.5373997
227,1240,大村站,,彰化縣大村鄉過溝村福進路100號,無,23.9900528,120.5606453
151,1203,員林站,,彰化縣員林鎮民權街55號,04-8320544,23.9593465,120.5699606
152,1204,永靖站,,彰化縣永靖鄉崙子村永崙路25號,無,23.9281475,120.5716724
153,1205,社頭站,,彰化縣社頭鄉廣興村社站路10號,04-8711646,23.8957104,120.5808001
154,1206,田中站,,彰化縣田中鎮中州路1段1號,04-8742142,23.857685,120.583564
155,1207,二水站,,彰化縣二水鄉光文路1號,04-8792027,23.8131501,120.618115
156,1208,林內站,,雲林縣林內鄉中山路42號,05-5892040,23.7596808,120.614987
157,1209,石榴站,,雲林縣斗六市榴北里文明路26號,無,23.725819,120.577977
158,1210,斗六站,,雲林縣斗六市信義里民生路187號,05-5332900,23.7124606,120.54327
159,1211,斗南站,,雲林縣斗南鎮南昌里中山路2號,05-5972039,23.6729716,120.4808407
160,1212,石龜站,,雲林縣斗南鎮石溪里,無,23.6386539,120.4732056
161,1213,大林站,,嘉義縣大林鎮吉林里中山路2號,05-2654804,23.6010764,120.4558391
162,1214,民雄站,,嘉義縣民雄鄉東榮村和平路2號,05-2264272,23.5550395,120.4316513
228,1241,嘉北站,,嘉義市後湖里保健街110號,05-2334584,23.500685,120.451295
163,1215,嘉義站,,嘉義市中山路528號(含前、後站),05-2228904,23.4793059,120.4422923
164,1217,水上站,,嘉義縣水上鄉粗溪村68號,無,23.4490478,120.3954282
165,1218,南靖站,,嘉義縣水上鄉三鎮村26號,無,23.406972,120.3853425
166,1219,後壁站,,台南市後壁區後壁里77號,,23.366247,120.360603
167,1220,新營站,,臺南市新營區中營里中山路1號,06-6322104,23.3067319,120.323055
168,1221,柳營站,,台南市柳營區東昇里建國路1號,,23.27762,120.322519
169,1222,林鳳營站,,臺南市六甲區中社里林鳳營16號,06-6986086,23.242592,120.320973
170,1223,隆田站,,臺南市官田區隆田里中山路1段1號,06-5791664,23.1926666,120.318898
171,1224,拔林站,,台南市官田區拔林里83之1號,無,23.188952,120.340108
172,1225,善化站,,臺南市善化區中山路1號,06-5837301,23.1333235,120.3065509
